timestamp,sensor_group,channel,raw_adc,voltage,calculated_value
2026-06-08T08:31:01.334154,R1,2,1601,0.254822955,114.1110928
2026-06-08T08:31:01.345886,R1,3,1629,0.289010989,150.4772039
2026-06-08T08:31:01.357564,R1,4,1530,0.168131868,45.76237278
2026-06-08T08:31:01.369179,R1,5,1713,0.391575092,293.2952541
2026-06-08T08:31:02.083650,R2,1,1620,0.278021978,138.1902907
2026-06-08T08:31:02.095615,R2,2,1621,0.279242979,139.5273723
2026-06-08T08:31:02.107373,R2,3,1622,0.28046398,140.8714726
2026-06-08T08:31:02.119247,R2,4,1609,0.264590965,123.9438769
2026-06-08T08:31:02.130891,R2,5,1704,0.380586081,275.512198
2026-06-08T08:32:01.322993,R1,1,1606,0.260927961,120.2046749
2026-06-08T08:32:01.335147,R1,2,1601,0.254822955,114.1110928
2026-06-08T08:32:01.346860,R1,3,1636,0.297557998,160.4291897
2026-06-08T08:32:01.358547,R1,4,1529,0.166910867,45.0352866
2026-06-08T08:32:01.370258,R1,5,1710,0.387912088,287.3002086
2026-06-08T08:32:02.085043,R2,1,1620,0.278021978,138.1902907
2026-06-08T08:32:02.096961,R2,2,1620,0.278021978,138.1902907
2026-06-08T08:32:02.108731,R2,3,1619,0.276800977,136.8602218
2026-06-08T08:32:02.120539,R2,4,1611,0.267032967,126.4713898
2026-06-08T08:32:02.132229,R2,5,1707,0.384249084,281.3725653
2026-06-08T08:33:01.337138,R1,1,1595,0.247496947,107.0261919
2026-06-08T08:33:01.349906,R1,2,1595,0.247496947,107.0261919
2026-06-08T08:33:01.361938,R1,3,1633,0.293894994,156.1215252
2026-06-08T08:33:01.373893,R1,4,1532,0.170573871,47.23560409
2026-06-08T08:33:01.385814,R1,5,1702,0.378144078,271.6425993
2026-06-08T08:33:02.100610,R2,1,1612,0.268253968,127.7455787
2026-06-08T08:33:02.112864,R2,2,1623,0.281684982,142.2225977
2026-06-08T08:33:02.124884,R2,3,1623,0.281684982,142.2225977
2026-06-08T08:33:02.136895,R2,4,1594,0.246275946,105.8694011
2026-06-08T08:33:02.148968,R2,5,1704,0.380586081,275.512198
2026-06-08T08:34:01.350098,R1,1,1595,0.247496947,107.0261919
2026-06-08T08:34:01.362198,R1,2,1599,0.252380952,111.7219568
2026-06-08T08:34:01.373906,R1,3,1635,0.296336996,158.986202
2026-06-08T08:34:01.385582,R1,4,1529,0.166910867,45.0352866
2026-06-08T08:34:01.397330,R1,5,1705,0.381807082,277.4581865
2026-06-08T08:34:02.112305,R2,1,1622,0.28046398,140.8714726
2026-06-08T08:34:02.124182,R2,2,1624,0.282905983,143.5807535
2026-06-08T08:34:02.135862,R2,3,1623,0.281684982,142.2225977
2026-06-08T08:34:02.147527,R2,4,1608,0.263369963,122.6905402
2026-06-08T08:34:02.159227,R2,5,1708,0.385470085,283.3409651
2026-06-08T08:35:01.361172,R1,1,1595,0.247496947,107.0261919
2026-06-08T08:35:01.373487,R1,2,1594,0.246275946,105.8694011
2026-06-08T08:35:01.385222,R1,3,1626,0.285347985,146.3181816
2026-06-08T08:35:01.396994,R1,4,1535,0.174236874,49.49323373
2026-06-08T08:35:01.408692,R1,5,1710,0.387912088,287.3002086
2026-06-08T08:35:02.123126,R2,1,1617,0.274358974,134.2210974
2026-06-08T08:35:02.135320,R2,2,1627,0.286568987,147.6974657
2026-06-08T08:35:02.148507,R2,3,1612,0.268253968,127.7455787
2026-06-08T08:35:02.160877,R2,4,1599,0.252380952,111.7219568
2026-06-08T08:35:02.172870,R2,5,1700,0.375702076,267.8028068
2026-06-08T08:36:01.375152,R1,1,1598,0.251159951,110.5377121
2026-06-08T08:36:01.387378,R1,2,1601,0.254822955,114.1110928
2026-06-08T08:36:01.399216,R1,3,1627,0.286568987,147.6974657
2026-06-08T08:36:01.411104,R1,4,1535,0.174236874,49.49323373
2026-06-08T08:36:01.422872,R1,5,1710,0.387912088,287.3002086
2026-06-08T08:36:02.137194,R2,1,1621,0.279242979,139.5273723
2026-06-08T08:36:02.149089,R2,2,1618,0.275579976,135.5371594
2026-06-08T08:36:02.160801,R2,3,1627,0.286568987,147.6974657
2026-06-08T08:36:02.172497,R2,4,1604,0.258485958,117.746511
