sensor,sensor_group,channel,window_min,n_before,n_after,before_v,after_v,shift_v,sigma_v,sigma_shift_v,z,p,direction,significance
R1_ch1,R1,1,60,60,60,0.257916,0.246744,-0.011172,0.004475,0.000817,-13.674,1.445e-42,down,>3 sigma
R1_ch2,R1,2,60,60,60,0.252381,0.240008,-0.012373,0.004557,0.000832,-14.87,5.134e-50,down,>3 sigma
R1_ch3,R1,3,60,60,60,0.294933,0.284147,-0.010786,0.004915,0.000897,-12.02,2.797e-33,down,>3 sigma
R1_ch4,R1,4,60,60,60,0.401913,0.159483,-0.24243,0.005353,0.000977,-248.061,0.000e+00,down,>3 sigma
R1_ch5,R1,5,60,60,60,0.390985,0.378124,-0.012861,0.004242,0.000774,-16.607,6.201e-62,down,>3 sigma
R2_ch1,R2,1,60,60,60,0.275438,0.265405,-0.010033,0.005164,0.000943,-10.64,1.934e-26,down,>3 sigma
R2_ch2,R2,2,60,60,60,0.282011,0.269434,-0.012576,0.005735,0.001047,-12.01,3.139e-33,down,>3 sigma
R2_ch3,R2,3,60,60,60,0.281848,0.27149,-0.010358,0.0041,0.000749,-13.838,1.503e-43,down,>3 sigma
R2_ch4,R2,4,60,60,60,0.402971,0.249166,-0.153805,0.005166,0.000943,-163.06,0.000e+00,down,>3 sigma
R2_ch5,R2,5,60,60,60,0.381644,0.370309,-0.011335,0.00403,0.000736,-15.407,1.474e-53,down,>3 sigma
