time,R1_ch1,R1_ch2,R1_ch3,R1_ch4,R1_ch5,R2_ch1,R2_ch2,R2_ch3,R2_ch4,R2_ch5
2026-06-14T00:00:44.485742,0.137497,0.126508,0.17779,0.045922,0.265702,0.135812,0.139475,0.138254,0.118718,0.235934
2026-06-14T00:01:44.497515,0.138718,0.127729,0.171685,0.052027,0.273028,0.138254,0.137033,0.137033,0.12116,0.239597
2026-06-14T00:02:44.511149,0.14116,0.122845,0.174127,0.047143,0.269365,0.134591,0.141917,0.14558,0.119939,0.239597
2026-06-14T00:03:44.526795,0.136276,0.12895,0.169243,0.048364,0.269365,0.13337,0.137033,0.138254,0.116276,0.237155
2026-06-14T00:04:44.532851,0.137497,0.131392,0.171685,0.047143,0.269365,0.128486,0.140696,0.144359,0.115055,0.242039
2026-06-14T00:05:44.544164,0.130171,0.122845,0.175348,0.047143,0.270586,0.132149,0.144359,0.14558,0.12116,0.242039
2026-06-14T00:06:44.556798,0.138718,0.126508,0.172906,0.049585,0.269365,0.130928,0.141917,0.143138,0.122381,0.245702
2026-06-14T00:07:44.573691,0.14116,0.12895,0.171685,0.042259,0.269365,0.134591,0.13337,0.141917,0.123602,0.244481
2026-06-14T00:08:44.585586,0.135055,0.125287,0.174127,0.045922,0.264481,0.13337,0.143138,0.141917,0.115055,0.237155
2026-06-14T00:09:44.600293,0.136276,0.130171,0.174127,0.050806,0.269365,0.137033,0.140696,0.137033,0.119939,0.239597
2026-06-14T00:10:44.612909,0.136276,0.127729,0.174127,0.050806,0.27547,0.132149,0.140696,0.137033,0.113834,0.242039
2026-06-14T00:11:44.628554,0.136276,0.12895,0.172906,0.048364,0.266923,0.137033,0.141917,0.143138,0.118718,0.245702
2026-06-14T00:12:44.642655,0.131392,0.126508,0.174127,0.052027,0.268144,0.134591,0.138254,0.141917,0.113834,0.239597
2026-06-14T00:13:44.656373,0.132613,0.126508,0.174127,0.048364,0.268144,0.132149,0.134591,0.138254,0.119939,0.24326
2026-06-14T00:14:44.666904,0.139939,0.12895,0.170464,0.044701,0.268144,0.130928,0.139475,0.141917,0.119939,0.239597
2026-06-14T00:15:44.682215,0.135055,0.126508,0.169243,0.04348,0.266923,0.134591,0.138254,0.138254,0.119939,0.242039
2026-06-14T00:16:44.694678,0.136276,0.126508,0.174127,0.04348,0.26326,0.138254,0.135812,0.144359,0.12116,0.239597
2026-06-14T00:17:44.708359,0.133834,0.12895,0.175348,0.04348,0.265702,0.128486,0.138254,0.141917,0.124823,0.244481
2026-06-14T00:18:44.724977,0.133834,0.131392,0.176569,0.04348,0.269365,0.13337,0.13337,0.135812,0.115055,0.242039
2026-06-14T00:19:44.735739,0.139939,0.131392,0.176569,0.049585,0.264481,0.138254,0.143138,0.141917,0.117497,0.238376
2026-06-14T00:20:44.751040,0.135055,0.126508,0.175348,0.053248,0.274249,0.134591,0.137033,0.14558,0.123602,0.235934
2026-06-14T00:21:44.764661,0.139939,0.130171,0.169243,0.044701,0.265702,0.130928,0.135812,0.140696,0.117497,0.240818
2026-06-14T00:22:44.780237,0.136276,0.126508,0.179011,0.045922,0.265702,0.138254,0.138254,0.137033,0.116276,0.24326
2026-06-14T00:23:44.790625,0.136276,0.130171,0.174127,0.050806,0.265702,0.137033,0.140696,0.143138,0.115055,0.242039
2026-06-14T00:24:44.804719,0.137497,0.126508,0.174127,0.050806,0.270586,0.135812,0.135812,0.141917,0.116276,0.237155
2026-06-14T00:25:44.817875,0.132613,0.130171,0.172906,0.052027,0.270586,0.135812,0.137033,0.138254,0.117497,0.234713
2026-06-14T00:26:44.832698,0.132613,0.127729,0.176569,0.04348,0.271807,0.135812,0.134591,0.141917,0.119939,0.238376
2026-06-14T00:27:44.842199,0.136276,0.130171,0.171685,0.050806,0.264481,0.134591,0.139475,0.14558,0.122381,0.24326
2026-06-14T00:28:44.861989,0.138718,0.130171,0.171685,0.053248,0.274249,0.130928,0.13337,0.138254,0.116276,0.242039
2026-06-14T00:29:44.874787,0.139939,0.12895,0.174127,0.049585,0.266923,0.134591,0.140696,0.139475,0.115055,0.244481
2026-06-14T00:30:44.887753,0.135055,0.127729,0.176569,0.047143,0.268144,0.138254,0.138254,0.143138,0.119939,0.242039
2026-06-14T00:31:44.902310,0.138718,0.130171,0.17779,0.054469,0.26326,0.139475,0.139475,0.139475,0.117497,0.238376
2026-06-14T00:32:44.915066,0.132613,0.126508,0.170464,0.045922,0.268144,0.137033,0.138254,0.140696,0.118718,0.242039
2026-06-14T00:33:44.929930,0.137497,0.130171,0.171685,0.052027,0.266923,0.132149,0.137033,0.139475,0.117497,0.240818
2026-06-14T00:34:44.943628,0.14116,0.130171,0.176569,0.047143,0.273028,0.138254,0.144359,0.146801,0.12116,0.235934
2026-06-14T00:35:44.957148,0.133834,0.130171,0.169243,0.048364,0.269365,0.134591,0.137033,0.144359,0.116276,0.245702
2026-06-14T00:36:44.969648,0.135055,0.124066,0.175348,0.052027,0.266923,0.134591,0.139475,0.137033,0.118718,0.238376
2026-06-14T00:37:44.982294,0.136276,0.130171,0.169243,0.050806,0.270586,0.13337,0.141917,0.141917,0.12116,0.24326
2026-06-14T00:38:44.998179,0.136276,0.130171,0.169243,0.048364,0.266923,0.13337,0.135812,0.137033,0.123602,0.246923
