time,R1_ch1,R1_ch2,R1_ch3,R1_ch4,R1_ch5,R2_ch1,R2_ch2,R2_ch3,R2_ch4,R2_ch5
2026-06-14T00:00:44.485742,282.585,257.916,374.582,84.891,581.958,278.79,287.046,284.292,240.553,510.86
2026-06-14T00:01:44.497515,285.338,260.648,360.5,97.344,599.578,284.292,281.54,281.54,245.985,519.564
2026-06-14T00:02:44.511149,290.851,249.739,366.127,87.369,590.762,276.042,292.562,300.853,243.268,519.564
2026-06-14T00:03:44.526795,279.834,263.381,354.881,89.854,590.762,273.297,281.54,284.292,235.132,513.76
2026-06-14T00:04:44.532851,282.585,268.856,360.5,87.369,590.762,262.342,289.803,298.087,232.426,525.374
2026-06-14T00:05:44.544164,266.117,249.739,368.944,87.369,593.7,270.555,298.087,300.853,245.985,525.374
2026-06-14T00:06:44.556798,285.338,257.916,363.313,92.345,590.762,267.815,292.562,295.324,248.704,534.1
2026-06-14T00:07:44.573691,290.851,263.381,360.5,77.495,590.762,276.042,273.297,292.562,251.427,531.19
2026-06-14T00:08:44.585586,277.086,255.188,366.127,84.891,579.026,273.297,295.324,292.562,232.426,513.76
2026-06-14T00:09:44.600293,279.834,266.117,366.127,94.841,590.762,281.54,289.803,281.54,243.268,519.564
2026-06-14T00:10:44.612909,279.834,260.648,366.127,94.841,605.461,270.555,289.803,281.54,229.723,525.374
2026-06-14T00:11:44.628554,279.834,263.381,363.313,89.854,584.892,281.54,292.562,295.324,240.553,534.1
2026-06-14T00:12:44.642655,268.856,257.916,366.127,97.344,587.826,276.042,284.292,292.562,229.723,519.564
2026-06-14T00:13:44.656373,271.597,257.916,366.127,89.854,587.826,270.555,276.042,284.292,243.268,528.281
2026-06-14T00:14:44.666904,288.094,263.381,357.69,82.419,587.826,267.815,287.046,292.562,243.268,519.564
2026-06-14T00:15:44.682215,277.086,257.916,354.881,79.954,584.892,276.042,284.292,284.292,243.268,525.374
2026-06-14T00:16:44.694678,279.834,257.916,366.127,79.954,576.096,284.292,278.79,298.087,245.985,519.564
2026-06-14T00:17:44.708359,274.34,263.381,368.944,79.954,581.958,262.342,284.292,292.562,254.152,531.19
2026-06-14T00:18:44.724977,274.34,268.856,371.762,79.954,590.762,273.297,273.297,278.79,232.426,525.374
2026-06-14T00:19:44.735739,288.094,268.856,371.762,92.345,579.026,284.292,295.324,292.562,237.841,516.662
2026-06-14T00:20:44.751040,277.086,257.916,368.944,99.852,602.519,276.042,281.54,300.853,251.427,510.86
2026-06-14T00:21:44.764661,288.094,266.117,354.881,82.419,581.958,267.815,278.79,289.803,237.841,522.469
2026-06-14T00:22:44.780237,279.834,257.916,377.404,84.891,581.958,284.292,284.292,281.54,235.132,528.281
2026-06-14T00:23:44.790625,279.834,266.117,366.127,94.841,581.958,281.54,289.803,295.324,232.426,525.374
2026-06-14T00:24:44.804719,282.585,257.916,366.127,94.841,593.7,278.79,278.79,292.562,235.132,513.76
2026-06-14T00:25:44.817875,271.597,266.117,363.313,97.344,593.7,278.79,281.54,284.292,237.841,507.962
2026-06-14T00:26:44.832698,271.597,260.648,371.762,79.954,596.638,278.79,276.042,292.562,243.268,516.662
2026-06-14T00:27:44.842199,279.834,266.117,360.5,94.841,579.026,276.042,287.046,300.853,248.704,528.281
2026-06-14T00:28:44.861989,285.338,266.117,360.5,99.852,602.519,267.815,273.297,284.292,235.132,525.374
2026-06-14T00:29:44.874787,288.094,263.381,366.127,92.345,584.892,276.042,289.803,287.046,232.426,531.19
2026-06-14T00:30:44.887753,277.086,260.648,371.762,87.369,587.826,284.292,284.292,295.324,243.268,525.374
2026-06-14T00:31:44.902310,285.338,266.117,374.582,102.365,576.096,287.046,287.046,287.046,237.841,516.662
2026-06-14T00:32:44.915066,271.597,257.916,357.69,84.891,587.826,281.54,284.292,289.803,240.553,525.374
2026-06-14T00:33:44.929930,282.585,266.117,360.5,97.344,584.892,270.555,281.54,287.046,237.841,522.469
2026-06-14T00:34:44.943628,290.851,266.117,371.762,87.369,599.578,284.292,298.087,303.621,245.985,510.86
2026-06-14T00:35:44.957148,274.34,266.117,354.881,89.854,590.762,276.042,281.54,298.087,235.132,534.1
2026-06-14T00:36:44.969648,277.086,252.462,368.944,97.344,584.892,276.042,287.046,281.54,240.553,516.662
2026-06-14T00:37:44.982294,279.834,266.117,354.881,94.841,593.7,273.297,292.562,292.562,245.985,528.281
2026-06-14T00:38:44.998179,279.834,266.117,354.881,89.854,584.892,273.297,278.79,281.54,251.427,537.011
2026-06-14T00:39:45.011408,274.34,260.648,374.582,82.419,581.958,265.077,289.803,281.54,237.841,519.564
2026-06-14T00:40:45.024796,279.834,257.916,360.5,87.369,593.7,273.297,289.803,295.324,232.426,525.374
2026-06-14T00:41:45.031909,288.094,271.597,371.762,84.891,579.026,270.555,276.042,295.324,243.268,513.76
2026-06-14T00:42:45.045127,268.856,257.916,360.5,92.345,579.026,276.042,289.803,298.087,235.132,502.169
2026-06-14T00:43:45.056442,271.597,252.462,363.313,94.841,579.026,281.54,281.54,295.324,248.704,522.469
2026-06-14T00:44:45.072793,271.597,271.597,357.69,84.891,587.826,273.297,281.54,289.803,235.132,522.469
