timestamp,sensor_group,channel,raw_adc,raw_voltage_v,delta_voltage_v,dose_rad
2026-06-14T00:00:45.248963,R2,1,1610,1.965812,0.135812,278.79
2026-06-14T00:00:45.260916,R2,2,1613,1.969475,0.139475,287.046
2026-06-14T00:00:45.272680,R2,3,1612,1.968254,0.138254,284.292
2026-06-14T00:00:45.284417,R2,4,1596,1.948718,0.118718,240.553
2026-06-14T00:00:45.296137,R2,5,1692,2.065934,0.235934,510.86
2026-06-14T00:01:45.260930,R2,1,1612,1.968254,0.138254,284.292
2026-06-14T00:01:45.272907,R2,2,1611,1.967033,0.137033,281.54
2026-06-14T00:01:45.284655,R2,3,1611,1.967033,0.137033,281.54
2026-06-14T00:01:45.296385,R2,4,1598,1.95116,0.12116,245.985
2026-06-14T00:01:45.308109,R2,5,1695,2.069597,0.239597,519.564
2026-06-14T00:02:45.274004,R2,1,1609,1.964591,0.134591,276.042
2026-06-14T00:02:45.285992,R2,2,1615,1.971917,0.141917,292.562
2026-06-14T00:02:45.297803,R2,3,1618,1.97558,0.14558,300.853
2026-06-14T00:02:45.309586,R2,4,1597,1.949939,0.119939,243.268
2026-06-14T00:02:45.321370,R2,5,1695,2.069597,0.239597,519.564
2026-06-14T00:03:45.289487,R2,1,1608,1.96337,0.13337,273.297
2026-06-14T00:03:45.301425,R2,2,1611,1.967033,0.137033,281.54
2026-06-14T00:03:45.313108,R2,3,1612,1.968254,0.138254,284.292
2026-06-14T00:03:45.324847,R2,4,1594,1.946276,0.116276,235.132
2026-06-14T00:03:45.336579,R2,5,1693,2.067155,0.237155,513.76
2026-06-14T00:04:45.296002,R2,1,1604,1.958486,0.128486,262.342
2026-06-14T00:04:45.308205,R2,2,1614,1.970696,0.140696,289.803
2026-06-14T00:04:45.320302,R2,3,1617,1.974359,0.144359,298.087
2026-06-14T00:04:45.332260,R2,4,1593,1.945055,0.115055,232.426
2026-06-14T00:04:45.344136,R2,5,1697,2.072039,0.242039,525.374
2026-06-14T00:05:45.306464,R2,1,1607,1.962149,0.132149,270.555
2026-06-14T00:05:45.318530,R2,2,1617,1.974359,0.144359,298.087
2026-06-14T00:05:45.330389,R2,3,1618,1.97558,0.14558,300.853
2026-06-14T00:05:45.342179,R2,4,1598,1.95116,0.12116,245.985
2026-06-14T00:05:45.354020,R2,5,1697,2.072039,0.242039,525.374
2026-06-14T00:06:45.319181,R2,1,1606,1.960928,0.130928,267.815
2026-06-14T00:06:45.331163,R2,2,1615,1.971917,0.141917,292.562
2026-06-14T00:06:45.342953,R2,3,1616,1.973138,0.143138,295.324
2026-06-14T00:06:45.354773,R2,4,1599,1.952381,0.122381,248.704
2026-06-14T00:06:45.366584,R2,5,1700,2.075702,0.245702,534.1
2026-06-14T00:07:45.335706,R2,1,1609,1.964591,0.134591,276.042
2026-06-14T00:07:45.347656,R2,2,1608,1.96337,0.13337,273.297
2026-06-14T00:07:45.359431,R2,3,1615,1.971917,0.141917,292.562
2026-06-14T00:07:45.371202,R2,4,1600,1.953602,0.123602,251.427
2026-06-14T00:07:45.382974,R2,5,1699,2.074481,0.244481,531.19
2026-06-14T00:08:45.347986,R2,1,1608,1.96337,0.13337,273.297
2026-06-14T00:08:45.359982,R2,2,1616,1.973138,0.143138,295.324
2026-06-14T00:08:45.371763,R2,3,1615,1.971917,0.141917,292.562
2026-06-14T00:08:45.383598,R2,4,1593,1.945055,0.115055,232.426
2026-06-14T00:08:45.395501,R2,5,1693,2.067155,0.237155,513.76
2026-06-14T00:09:45.361930,R2,1,1611,1.967033,0.137033,281.54
2026-06-14T00:09:45.373934,R2,2,1614,1.970696,0.140696,289.803
2026-06-14T00:09:45.385745,R2,3,1611,1.967033,0.137033,281.54
2026-06-14T00:09:45.397512,R2,4,1597,1.949939,0.119939,243.268
2026-06-14T00:09:45.409201,R2,5,1695,2.069597,0.239597,519.564
2026-06-14T00:10:45.375376,R2,1,1607,1.962149,0.132149,270.555
2026-06-14T00:10:45.387306,R2,2,1614,1.970696,0.140696,289.803
2026-06-14T00:10:45.399075,R2,3,1611,1.967033,0.137033,281.54
2026-06-14T00:10:45.410801,R2,4,1592,1.943834,0.113834,229.723
2026-06-14T00:10:45.422603,R2,5,1697,2.072039,0.242039,525.374
2026-06-14T00:11:45.391277,R2,1,1611,1.967033,0.137033,281.54
2026-06-14T00:11:45.403375,R2,2,1615,1.971917,0.141917,292.562
2026-06-14T00:11:45.415273,R2,3,1616,1.973138,0.143138,295.324
2026-06-14T00:11:45.427172,R2,4,1596,1.948718,0.118718,240.553
2026-06-14T00:11:45.439063,R2,5,1700,2.075702,0.245702,534.1
2026-06-14T00:12:45.405640,R2,1,1609,1.964591,0.134591,276.042
2026-06-14T00:12:45.417744,R2,2,1612,1.968254,0.138254,284.292
2026-06-14T00:12:45.429607,R2,3,1615,1.971917,0.141917,292.562
2026-06-14T00:12:45.441459,R2,4,1592,1.943834,0.113834,229.723
2026-06-14T00:12:45.453365,R2,5,1695,2.069597,0.239597,519.564
2026-06-14T00:13:45.419478,R2,1,1607,1.962149,0.132149,270.555
2026-06-14T00:13:45.431746,R2,2,1609,1.964591,0.134591,276.042
2026-06-14T00:13:45.443675,R2,3,1612,1.968254,0.138254,284.292
2026-06-14T00:13:45.455423,R2,4,1597,1.949939,0.119939,243.268
2026-06-14T00:13:45.467084,R2,5,1698,2.07326,0.24326,528.281
2026-06-14T00:14:45.429469,R2,1,1606,1.960928,0.130928,267.815
2026-06-14T00:14:45.441414,R2,2,1613,1.969475,0.139475,287.046
2026-06-14T00:14:45.453154,R2,3,1615,1.971917,0.141917,292.562
2026-06-14T00:14:45.464886,R2,4,1597,1.949939,0.119939,243.268
2026-06-14T00:14:45.476611,R2,5,1695,2.069597,0.239597,519.564
2026-06-14T00:15:45.445249,R2,1,1609,1.964591,0.134591,276.042
2026-06-14T00:15:45.457434,R2,2,1612,1.968254,0.138254,284.292
2026-06-14T00:15:45.469339,R2,3,1612,1.968254,0.138254,284.292
2026-06-14T00:15:45.481293,R2,4,1597,1.949939,0.119939,243.268
2026-06-14T00:15:45.493240,R2,5,1697,2.072039,0.242039,525.374
2026-06-14T00:16:45.457352,R2,1,1612,1.968254,0.138254,284.292
2026-06-14T00:16:45.469363,R2,2,1610,1.965812,0.135812,278.79
2026-06-14T00:16:45.481201,R2,3,1617,1.974359,0.144359,298.087
2026-06-14T00:16:45.492945,R2,4,1598,1.95116,0.12116,245.985
2026-06-14T00:16:45.504609,R2,5,1695,2.069597,0.239597,519.564
2026-06-14T00:17:45.470421,R2,1,1604,1.958486,0.128486,262.342
2026-06-14T00:17:45.482409,R2,2,1612,1.968254,0.138254,284.292
2026-06-14T00:17:45.494160,R2,3,1615,1.971917,0.141917,292.562
2026-06-14T00:17:45.505871,R2,4,1601,1.954823,0.124823,254.152
2026-06-14T00:17:45.517610,R2,5,1699,2.074481,0.244481,531.19
2026-06-14T00:18:45.487711,R2,1,1608,1.96337,0.13337,273.297
2026-06-14T00:18:45.499883,R2,2,1608,1.96337,0.13337,273.297
2026-06-14T00:18:45.511789,R2,3,1610,1.965812,0.135812,278.79
2026-06-14T00:18:45.523703,R2,4,1593,1.945055,0.115055,232.426
2026-06-14T00:18:45.535649,R2,5,1697,2.072039,0.242039,525.374
2026-06-14T00:19:45.498993,R2,1,1612,1.968254,0.138254,284.292
2026-06-14T00:19:45.511180,R2,2,1616,1.973138,0.143138,295.324
2026-06-14T00:19:45.523125,R2,3,1615,1.971917,0.141917,292.562
2026-06-14T00:19:45.535030,R2,4,1595,1.947497,0.117497,237.841
2026-06-14T00:19:45.546921,R2,5,1694,2.068376,0.238376,516.662
2026-06-14T00:20:45.513264,R2,1,1609,1.964591,0.134591,276.042
2026-06-14T00:20:45.525231,R2,2,1611,1.967033,0.137033,281.54
2026-06-14T00:20:45.537010,R2,3,1618,1.97558,0.14558,300.853
2026-06-14T00:20:45.548746,R2,4,1600,1.953602,0.123602,251.427
2026-06-14T00:20:45.560486,R2,5,1692,2.065934,0.235934,510.86
2026-06-14T00:21:45.527829,R2,1,1606,1.960928,0.130928,267.815
2026-06-14T00:21:45.540027,R2,2,1610,1.965812,0.135812,278.79
2026-06-14T00:21:45.552035,R2,3,1614,1.970696,0.140696,289.803
2026-06-14T00:21:45.563955,R2,4,1595,1.947497,0.117497,237.841
2026-06-14T00:21:45.575832,R2,5,1696,2.070818,0.240818,522.469
2026-06-14T00:22:45.543061,R2,1,1612,1.968254,0.138254,284.292
2026-06-14T00:22:45.555192,R2,2,1612,1.968254,0.138254,284.292
2026-06-14T00:22:45.567084,R2,3,1611,1.967033,0.137033,281.54
2026-06-14T00:22:45.578930,R2,4,1594,1.946276,0.116276,235.132
2026-06-14T00:22:45.590812,R2,5,1698,2.07326,0.24326,528.281
2026-06-14T00:23:45.553142,R2,1,1611,1.967033,0.137033,281.54
2026-06-14T00:23:45.565130,R2,2,1614,1.970696,0.140696,289.803
2026-06-14T00:23:45.576900,R2,3,1616,1.973138,0.143138,295.324
2026-06-14T00:23:45.588643,R2,4,1593,1.945055,0.115055,232.426
2026-06-14T00:23:45.600405,R2,5,1697,2.072039,0.242039,525.374
2026-06-14T00:24:45.566802,R2,1,1610,1.965812,0.135812,278.79
2026-06-14T00:24:45.578766,R2,2,1610,1.965812,0.135812,278.79
2026-06-14T00:24:45.590539,R2,3,1615,1.971917,0.141917,292.562
2026-06-14T00:24:45.602247,R2,4,1594,1.946276,0.116276,235.132
2026-06-14T00:24:45.613954,R2,5,1693,2.067155,0.237155,513.76
2026-06-14T00:25:45.580525,R2,1,1610,1.965812,0.135812,278.79
2026-06-14T00:25:45.592454,R2,2,1611,1.967033,0.137033,281.54
2026-06-14T00:25:45.604213,R2,3,1612,1.968254,0.138254,284.292
2026-06-14T00:25:45.615961,R2,4,1595,1.947497,0.117497,237.841
2026-06-14T00:25:45.627665,R2,5,1691,2.064713,0.234713,507.962
2026-06-14T00:26:45.595112,R2,1,1610,1.965812,0.135812,278.79
2026-06-14T00:26:45.607127,R2,2,1609,1.964591,0.134591,276.042
2026-06-14T00:26:45.618995,R2,3,1615,1.971917,0.141917,292.562
2026-06-14T00:26:45.630851,R2,4,1597,1.949939,0.119939,243.268
2026-06-14T00:26:45.642642,R2,5,1694,2.068376,0.238376,516.662
2026-06-14T00:27:45.604654,R2,1,1609,1.964591,0.134591,276.042
2026-06-14T00:27:45.616637,R2,2,1613,1.969475,0.139475,287.046
2026-06-14T00:27:45.628431,R2,3,1618,1.97558,0.14558,300.853
2026-06-14T00:27:45.640228,R2,4,1599,1.952381,0.122381,248.704
2026-06-14T00:27:45.651966,R2,5,1698,2.07326,0.24326,528.281
