time,R1_ch1,R1_ch2,R1_ch3,R1_ch4,R1_ch5,R2_ch1,R2_ch2,R2_ch3,R2_ch4,R2_ch5
2026-06-08T08:20:01.168610,0.139939,0.130171,0.181453,0.060574,0.273028,0.14558,0.144359,0.144359,0.134591,0.256691
2026-06-08T08:21:01.182749,0.147265,0.148486,0.183895,0.065458,0.276691,0.146801,0.156569,0.155348,0.127265,0.254249
2026-06-08T08:22:01.194369,,,,,,,,,,
2026-06-08T08:23:01.203878,0.148486,0.14116,0.183895,0.058132,0.276691,0.138254,0.141917,0.149243,0.126044,0.249365
2026-06-08T08:24:01.217096,0.14116,0.138718,0.19,0.060574,0.270586,0.140696,0.148022,0.150464,0.123602,0.244481
2026-06-08T08:25:01.230094,0.147265,0.14116,0.180232,0.050806,0.282796,0.135812,0.139475,0.149243,0.127265,0.248144
2026-06-08T08:26:01.244481,0.150928,0.133834,0.186337,0.063016,0.277912,0.151685,0.155348,0.150464,0.134591,0.24326
2026-06-08T08:27:01.257503,0.144823,0.147265,0.185116,0.061795,0.285238,0.151685,0.146801,0.154127,0.13337,0.248144
2026-06-08T08:28:01.263995,0.146044,0.14116,0.186337,0.053248,0.277912,0.144359,0.14558,0.151685,0.123602,0.251807
2026-06-08T08:29:01.281636,0.152149,0.142381,0.19,0.0679,0.280354,0.14558,0.148022,0.152906,0.123602,0.251807
2026-06-08T08:30:01.296084,0.146044,0.144823,0.176569,0.056911,0.276691,0.135812,0.155348,0.143138,0.124823,0.249365
2026-06-08T08:31:01.321954,0.147265,0.144823,0.179011,0.058132,0.281575,0.148022,0.149243,0.150464,0.134591,0.250586
2026-06-08T08:32:01.322993,0.150928,0.144823,0.187558,0.056911,0.277912,0.148022,0.148022,0.146801,0.137033,0.254249
2026-06-08T08:33:01.337138,0.137497,0.137497,0.183895,0.060574,0.268144,0.138254,0.151685,0.151685,0.116276,0.250586
2026-06-08T08:34:01.350098,0.137497,0.142381,0.186337,0.056911,0.271807,0.150464,0.152906,0.151685,0.13337,0.25547
2026-06-08T08:35:01.361172,0.137497,0.136276,0.175348,0.064237,0.277912,0.144359,0.156569,0.138254,0.122381,0.245702
2026-06-08T08:36:01.375152,0.14116,0.144823,0.176569,0.064237,0.277912,0.149243,0.14558,0.156569,0.128486,0.253028
2026-06-08T08:37:01.388709,0.143602,0.143602,0.183895,0.059353,0.282796,0.134591,0.149243,0.148022,0.135812,0.248144
2026-06-08T08:38:01.401927,0.138718,0.142381,0.19,0.065458,0.271807,0.140696,0.143138,0.148022,0.127265,0.246923
2026-06-08T08:39:01.412074,0.149707,0.139939,0.179011,0.054469,0.273028,0.149243,0.139475,0.143138,0.128486,0.249365
2026-06-08T08:40:01.425548,0.149707,0.139939,0.176569,0.064237,0.280354,0.14558,0.161453,0.150464,0.126044,0.251807
2026-06-08T08:41:01.438140,0.146044,0.132613,0.185116,0.060574,0.280354,0.134591,0.150464,0.149243,0.12116,0.253028
2026-06-08T08:42:01.455129,0.142381,0.138718,0.191221,0.058132,0.282796,0.14558,0.141917,0.150464,0.122381,0.254249
2026-06-08T08:43:01.465561,0.146044,0.138718,0.181453,0.048364,0.280354,0.139475,0.149243,0.155348,0.128486,0.251807
2026-06-08T08:44:01.476582,0.14116,0.148486,0.188779,0.058132,0.279133,0.144359,0.155348,0.146801,0.128486,0.260354
2026-06-08T08:45:01.491704,0.138718,0.138718,0.172906,0.05569,0.27547,0.140696,0.149243,0.148022,0.124823,0.250586
2026-06-08T08:46:01.501557,0.150928,0.142381,0.187558,0.058132,0.286459,0.135812,0.140696,0.146801,0.118718,0.244481
2026-06-08T08:47:01.512005,0.143602,0.143602,0.185116,0.04348,0.277912,0.14558,0.140696,0.149243,0.129707,0.256691
2026-06-08T08:48:01.531329,0.149707,0.146044,0.188779,0.065458,0.277912,0.143138,0.149243,0.156569,0.132149,0.245702
2026-06-08T08:49:01.544133,0.147265,0.135055,0.180232,0.056911,0.276691,0.146801,0.144359,0.151685,0.129707,0.248144
2026-06-08T08:50:01.559297,0.142381,0.144823,0.183895,0.056911,0.279133,0.140696,0.143138,0.150464,0.128486,0.251807
2026-06-08T08:51:01.569002,0.142381,,,,,,,,,
