time,R1_ch1,R1_ch2,R1_ch3,R1_ch4,R1_ch5,R2_ch1,R2_ch2,R2_ch3,R2_ch4,R2_ch5
2026-06-08T08:20:01.168610,288.094,266.117,383.053,115.013,599.578,300.853,298.087,298.087,276.042,560.351
2026-06-08T08:21:01.182749,304.674,307.445,388.71,125.221,608.405,303.621,325.846,323.06,259.609,554.508
2026-06-08T08:22:01.194369,,,,,,,,,,
2026-06-08T08:23:01.203878,307.445,290.851,388.71,109.938,608.405,284.292,292.562,309.165,256.879,542.838
2026-06-08T08:24:01.217096,290.851,285.338,402.884,115.013,593.7,289.803,306.392,311.939,251.427,531.19
2026-06-08T08:25:01.230094,304.674,290.851,380.228,94.841,623.141,278.79,287.046,309.165,259.609,539.924
2026-06-08T08:26:01.244481,312.994,274.34,394.374,120.107,611.349,314.716,323.06,311.939,276.042,528.281
2026-06-08T08:27:01.257503,299.138,304.674,391.541,117.558,629.044,314.716,303.621,320.277,273.297,539.924
2026-06-08T08:28:01.263995,301.905,290.851,394.374,99.852,611.349,298.087,300.853,314.716,251.427,548.67
2026-06-08T08:29:01.281636,315.772,293.611,402.884,130.353,617.243,300.853,306.392,317.495,251.427,548.67
2026-06-08T08:30:01.296084,301.905,299.138,371.762,107.409,608.405,278.79,323.06,295.324,254.152,542.838
2026-06-08T08:31:01.321954,304.674,299.138,377.404,109.938,620.191,306.392,309.165,311.939,276.042,545.753
2026-06-08T08:32:01.322993,312.994,299.138,397.209,107.409,611.349,306.392,306.392,303.621,281.54,554.508
2026-06-08T08:33:01.337138,282.585,282.585,388.71,115.013,587.826,284.292,314.716,314.716,235.132,545.753
2026-06-08T08:34:01.350098,282.585,293.611,394.374,107.409,596.638,311.939,317.495,314.716,273.297,557.429
2026-06-08T08:35:01.361172,282.585,279.834,368.944,122.662,611.349,298.087,325.846,284.292,248.704,534.1
2026-06-08T08:36:01.375152,290.851,299.138,371.762,122.662,611.349,309.165,300.853,325.846,262.342,551.588
2026-06-08T08:37:01.388709,296.374,296.374,388.71,112.473,623.141,276.042,309.165,306.392,278.79,539.924
2026-06-08T08:38:01.401927,285.338,293.611,402.884,125.221,596.638,289.803,295.324,306.392,259.609,537.011
2026-06-08T08:39:01.412074,310.219,288.094,377.404,102.365,599.578,309.165,287.046,295.324,262.342,542.838
2026-06-08T08:40:01.425548,310.219,288.094,371.762,122.662,617.243,300.853,337.009,311.939,256.879,548.67
2026-06-08T08:41:01.438140,301.905,271.597,391.541,115.013,617.243,276.042,311.939,309.165,245.985,551.588
2026-06-08T08:42:01.455129,293.611,285.338,405.724,109.938,623.141,300.853,292.562,311.939,248.704,554.508
2026-06-08T08:43:01.465561,301.905,285.338,383.053,89.854,617.243,287.046,309.165,323.06,262.342,548.67
2026-06-08T08:44:01.476582,290.851,307.445,400.046,109.938,614.296,298.087,323.06,303.621,262.342,569.126
2026-06-08T08:45:01.491704,285.338,285.338,363.313,104.884,605.461,289.803,309.165,306.392,254.152,545.753
2026-06-08T08:46:01.501557,312.994,293.611,397.209,109.938,631.998,278.79,289.803,303.621,240.553,531.19
2026-06-08T08:47:01.512005,296.374,296.374,391.541,79.954,611.349,300.853,289.803,309.165,265.077,560.351
2026-06-08T08:48:01.531329,310.219,301.905,400.046,125.221,611.349,295.324,309.165,325.846,270.555,534.1
2026-06-08T08:49:01.544133,304.674,277.086,380.228,107.409,608.405,303.621,298.087,314.716,265.077,539.924
2026-06-08T08:50:01.559297,293.611,299.138,388.71,107.409,614.296,289.803,295.324,311.939,262.342,548.67
2026-06-08T08:51:01.569002,293.611,,,,,,,,,
