time,R1_ch1,R1_ch2,R1_ch3,R1_ch4,R1_ch5,R2_ch1,R2_ch2,R2_ch3,R2_ch4,R2_ch5
2026-06-08T08:20:01.168610,1597,1589,1631,1532,1706,1618,1617,1617,1609,1709
2026-06-08T08:21:01.182749,1603,1604,1633,1536,1709,1619,1627,1626,1603,1707
2026-06-08T08:22:01.194369,4032,4032,4028,4027,4035,4031,4027,4026,4023,4038
2026-06-08T08:23:01.203878,1604,1598,1633,1530,1709,1612,1615,1621,1602,1703
2026-06-08T08:24:01.217096,1598,1596,1638,1532,1704,1614,1620,1622,1600,1699
2026-06-08T08:25:01.230094,1603,1598,1630,1524,1714,1610,1613,1621,1603,1702
2026-06-08T08:26:01.244481,1606,1592,1635,1534,1710,1623,1626,1622,1609,1698
2026-06-08T08:27:01.257503,1601,1603,1634,1533,1716,1623,1619,1625,1608,1702
2026-06-08T08:28:01.263995,1602,1598,1635,1526,1710,1617,1618,1623,1600,1705
2026-06-08T08:29:01.281636,1607,1599,1638,1538,1712,1618,1620,1624,1600,1705
2026-06-08T08:30:01.296084,1602,1601,1627,1529,1709,1610,1626,1616,1601,1703
2026-06-08T08:31:01.321954,1603,1601,1629,1530,1713,1620,1621,1622,1609,1704
2026-06-08T08:32:01.322993,1606,1601,1636,1529,1710,1620,1620,1619,1611,1707
2026-06-08T08:33:01.337138,1595,1595,1633,1532,1702,1612,1623,1623,1594,1704
2026-06-08T08:34:01.350098,1595,1599,1635,1529,1705,1622,1624,1623,1608,1708
2026-06-08T08:35:01.361172,1595,1594,1626,1535,1710,1617,1627,1612,1599,1700
2026-06-08T08:36:01.375152,1598,1601,1627,1535,1710,1621,1618,1627,1604,1706
2026-06-08T08:37:01.388709,1600,1600,1633,1531,1714,1609,1621,1620,1610,1702
2026-06-08T08:38:01.401927,1596,1599,1638,1536,1705,1614,1616,1620,1603,1701
2026-06-08T08:39:01.412074,1605,1597,1629,1527,1706,1621,1613,1616,1604,1703
2026-06-08T08:40:01.425548,1605,1597,1627,1535,1712,1618,1631,1622,1602,1705
2026-06-08T08:41:01.438140,1602,1591,1634,1532,1712,1609,1622,1621,1598,1706
2026-06-08T08:42:01.455129,1599,1596,1639,1530,1714,1618,1615,1622,1599,1707
2026-06-08T08:43:01.465561,1602,1596,1631,1522,1712,1613,1621,1626,1604,1705
2026-06-08T08:44:01.476582,1598,1604,1637,1530,1711,1617,1626,1619,1604,1712
2026-06-08T08:45:01.491704,1596,1596,1624,1528,1708,1614,1621,1620,1601,1704
2026-06-08T08:46:01.501557,1606,1599,1636,1530,1717,1610,1614,1619,1596,1699
2026-06-08T08:47:01.512005,1600,1600,1634,1518,1710,1618,1614,1621,1605,1709
2026-06-08T08:48:01.531329,1605,1602,1637,1536,1710,1616,1621,1627,1607,1700
2026-06-08T08:49:01.544133,1603,1593,1630,1529,1709,1619,1617,1623,1605,1702
2026-06-08T08:50:01.559297,1599,1601,1633,1529,1711,1614,1616,1622,1604,1705
2026-06-08T08:51:01.569002,1599,,,,,,,,,
